dataset,accession
GlobalA,EPI_ISL_451307
GlobalA,EPI_ISL_412974
GlobalA,EPI_ISL_418258
GlobalA,EPI_ISL_420565
GlobalA,EPI_ISL_429228
GlobalA,EPI_ISL_429231
GlobalA,EPI_ISL_429233
GlobalA,EPI_ISL_417445
GlobalA,EPI_ISL_450792
GlobalA,EPI_ISL_450793
GlobalA,EPI_ISL_450794
GlobalA,EPI_ISL_450796
GlobalA,EPI_ISL_450797
GlobalA,EPI_ISL_450798
GlobalA,EPI_ISL_450799
GlobalA,EPI_ISL_407084
GlobalA,EPI_ISL_416568
GlobalA,EPI_ISL_416581
GlobalA,EPI_ISL_416601
GlobalA,EPI_ISL_416603
GlobalA,EPI_ISL_416616
GlobalA,EPI_ISL_416622
GlobalA,EPI_ISL_412969
GlobalA,EPI_ISL_420890
GlobalA,EPI_ISL_445183
GlobalA,EPI_ISL_408669
GlobalA,EPI_ISL_410531
GlobalA,EPI_ISL_410532
GlobalA,EPI_ISL_419301
GlobalA,EPI_ISL_419307
GlobalA,EPI_ISL_419311
GlobalA,EPI_ISL_416524
GlobalA,EPI_ISL_416525
GlobalA,EPI_ISL_408665
GlobalA,EPI_ISL_408666
GlobalA,EPI_ISL_408667
GlobalA,EPI_ISL_429992
GlobalA,EPI_ISL_429996
GlobalA,EPI_ISL_429998
GlobalA,EPI_ISL_430000
GlobalA,EPI_ISL_430005
GlobalA,EPI_ISL_430006
GlobalA,EPI_ISL_430014
GlobalA,EPI_ISL_454571
GlobalA,EPI_ISL_454572
GlobalA,EPI_ISL_435045
GlobalA,EPI_ISL_435046
GlobalA,EPI_ISL_435047
GlobalA,EPI_ISL_457827
GlobalA,EPI_ISL_457828
GlobalA,EPI_ISL_457829
GlobalA,EPI_ISL_457836
GlobalA,EPI_ISL_457840
GlobalA,EPI_ISL_457841
GlobalA,EPI_ISL_457843
GlobalA,EPI_ISL_425118
GlobalA,EPI_ISL_426164
GlobalA,EPI_ISL_426166
GlobalA,EPI_ISL_426168
GlobalA,EPI_ISL_427810
GlobalA,EPI_ISL_421652
GlobalA,EPI_ISL_422424
